grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
325,7000,2236.07,26076.8,5656.85,0.1735,78.1007
326,7071.07,2236.07,25079.9,6324.56,0.1889,56.362
327,7280.11,1414.21,24083.2,6708.2,0.1831,6.0716
328,7615.77,1000,23086.8,7211.1,0.1774,9.4234
329,8062.26,0,22090.7,7211.1,0.2202,22.0046
330,8602.33,1000,21095,6324.56,0.2401,45.5886
331,9219.54,1000,20099.8,5385.17,0.159,61.97
332,8602.33,1000,19105,4472.14,0.1566,34.5319
333,8062.26,1414.21,18110.8,3605.55,0.1472,67.43
334,7615.77,2236.07,17117.2,2828.43,0.2482,64.2204
335,7280.11,1414.21,16124.5,2236.07,0.2467,24.8369
336,7071.07,1000,15132.7,1414.21,0.1584,30.2011
337,7000,1000,14142.1,1000,0.1683,2.5082
338,7071.07,0,13152.9,0,0.2233,17.2094
339,7071.07,1000,12165.5,1000,0.156,1.7637
340,7000,2000,11180.3,2000,0.2077,13.4514
341,7071.07,2828.43,10198,3000,0.2607,73.1844
342,7280.11,2236.07,9219.54,4000,0.2707,93.6678
343,7071.07,1414.21,8246.21,5000,0.1639,29.4806
344,6082.76,1000,7280.11,5830.95,0.2014,31.8128
345,5099.02,1414.21,6324.56,5830.95,0.231,14.2492
346,4123.11,2236.07,5385.17,5385.17,0.1507,17.9753
347,3162.28,2828.43,4472.14,5000,0.1382,87.9383
348,2236.07,3605.55,3605.55,4472.14,0.0691,42.8183
349,9433.98,3000,31016.1,5000,0.2756,41.4575
350,8944.27,2000,30016.7,5000,0.1678,40.1689
351,8544,1000,29017.2,5099.02,0.1654,44.8863
352,8246.21,0,28017.9,5385.17,0.1742,12.1099
353,8062.26,1000,27018.5,5830.95,0.1721,21.6435
354,8000,2000,26019.2,6403.12,0.1614,37.5508
355,8062.26,2828.43,25020,7071.07,0.1916,24.3803
356,8246.21,2236.07,24020.8,7615.77,0.2078,10.893
357,8544,1414.21,23021.7,7615.77,0.225,5.1138
358,8944.27,1000,22022.7,6708.2,0.2256,12.8124
359,9219.54,1414.21,21023.8,5830.95,0.1874,23.4591
360,8485.28,1000,20025,5000,0.1893,60.0452
361,7810.25,0,19026.3,4123.11,0.1148,16.8158
362,7211.1,1000,18027.8,3162.28,0.2286,155.203
363,6708.2,2000,17029.4,2236.07,0.212,75.4659
364,6324.56,1414.21,16031.2,1414.21,0.2513,41.3389
365,6082.76,1000,15033.3,1000,0.1781,12.5016
366,6000,1414.21,14035.7,0,0.2007,3.5091
367,6082.76,1000,13038.4,0,0.2025,14.0977
368,6324.56,1000,12041.6,1000,0.1379,2.2244
369,6708.2,1414.21,11045.4,2000,0.1935,1.9486
370,7211.1,2236.07,10049.9,3000,0.2151,46.0441
371,7810.25,2000,9055.38,4000,0.2846,66.7986
372,7000,1000,8062.26,5000,0.2579,64.3433
373,6000,0,7071.07,6000,0.2966,57.7645
374,5000,1000,6082.76,6708.2,0.2636,77.1407
375,4000,2000,5099.02,6324.56,0.2049,39.3969
376,3000,3000,4123.11,5830.95,0.1467,96.0313
377,2000,4000,3162.28,5385.17,0.0648,62.1136
378,10295.6,3162.28,31000,6000,0.2267,58.2663
379,9848.86,2236.07,30000,6000,0.1234,41.4484
380,9486.83,1414.21,29000,6082.76,0.1827,46.0982
381,9219.54,1000,28000,6324.56,0.1444,13.8543
382,9055.38,1414.21,27000,6708.2,0.1579,43.1057
383,9000,2236.07,26000,7211.1,0.1397,30.3182
384,9055.38,3000,25000,7810.25,0.1863,34.0879
385,9219.54,2000,24000,8246.21,0.2138,26.7029
386,9486.83,1000,23000,7280.11,0.1965,4.4306
387,9433.98,0,22000,6324.56,0.2138,14.7937
388,8602.33,1000,21000,5385.17,0.1811,9.3967
